Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
42,Eastbound,AM Peak,E03,9127,[07:12] 7068614,WEEKDAY,54,54,00:50:27,64.21,6.71,7.98,8.05,118.87,30.13,55,114
42,Eastbound,AM Peak,E01,9106,[07:12] 7068617,WEEKDAY,53,53,00:55:56,56.85,8.03,8.61,6.6,141.03,32.52,29,114
42,Eastbound,AM Peak,E01,9129,[07:24] 7068615,WEEKDAY,57,57,00:57:07,59.87,8,8.4,7.13,139.98,33.98,42,114
42,Eastbound,AM Peak,E03,9108,[07:24] 7068616,WEEKDAY,53,53,00:52:29,60.57,6.74,7.7,7.86,108.98,31.21,34,114
42,Eastbound,AM Peak,E03,9132,[07:35] 7068561,WEEKDAY,50,50,00:51:06,58.71,6.72,7.89,7.44,87.96,28.82,57,114
42,Eastbound,AM Peak,E01,9103,[07:37] 7068560,WEEKDAY,71,71,01:02:16,68.41,8.06,7.76,8.81,148.65,38.72,32,114
42,Eastbound,AM Peak,E03,9109,[07:51] 7068537,WEEKDAY,47,47,00:55:11,51.09,6.72,7.3,7,95.91,27.64,28,114
42,Eastbound,AM Peak,E01,9110,[07:52] 7068538,WEEKDAY,69,69,01:03:46,64.91,8.04,7.56,8.58,154.8,40.19,21,114
42,Eastbound,AM Peak,E03,9104,[08:07] 7068559,WEEKDAY,59,59,00:55:59,63.22,6.7,7.18,8.8,123.58,35.03,31,114
42,Eastbound,AM Peak,E01,9112,[08:08] 7068520,WEEKDAY,68,68,01:03:57,63.78,8.07,7.57,8.43,147.39,39.03,33,114
42,Eastbound,AM Peak,E03,9115,[08:23] 7068519,WEEKDAY,38,38,00:54:32,41.8,6.75,7.43,5.63,75.04,24.6,52,114
42,Eastbound,AM Peak,E01,9101,[08:24] 7068518,WEEKDAY,56,56,01:03:50,52.64,8.03,7.55,6.97,113.47,35.67,54,114
42,Eastbound,AM Peak,E03,9119,[08:38] 7068521,WEEKDAY,50,50,00:56:30,53.08,6.7,7.11,7.47,91.45,30.42,36,114
42,Eastbound,AM Peak,E01,9117,[08:39] 7068516,WEEKDAY,42,42,01:03:47,39.5,7.96,7.49,5.27,93.23,25.81,43,114
42,Eastbound,AM Peak,E03,9102,[08:54] 7068515,WEEKDAY,35,35,00:54:14,38.71,6.73,7.44,5.2,62.56,20.46,67,114
42,Eastbound,AM Peak,E01,9121,[08:55] 7068514,WEEKDAY,47,47,01:00:11,46.85,8,7.97,5.88,105.76,27.97,34,114
42,Eastbound,Midday,E03,9127,[09:09] 7068534,WEEKDAY,40,40,00:55:05,43.56,6.74,7.34,5.94,78.14,23.47,55,114
42,Eastbound,Midday,E01,9123,[09:13] 7068533,WEEKDAY,55,55,01:02:26,52.85,8.04,7.72,6.84,118.77,29.52,46,114
42,Eastbound,Midday,E03,9108,[09:29] 7068532,WEEKDAY,37,37,00:55:26,40.04,6.74,7.29,5.49,71.46,21.85,34,114
42,Eastbound,Midday,E01,9106,[09:33] 7068531,WEEKDAY,47,47,01:00:46,46.41,8,7.9,5.88,97.92,25.1,31,114
